Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
aurelia-gold-pendant,Aurelia Gold Pendant,"<p>A delicate gold pendant designed for everyday elegance. Demo product for development purposes.</p>",Karim Jewellers,Necklaces,"new-arrivals,gold",TRUE,Size,One Size,,,KJ-NEC-001,shopify,25,deny,manual,125.00,,TRUE,TRUE,,,,FALSE,Aurelia Gold Pendant | Karim Jewellers,Delicate gold pendant necklace. Demo product.,active
celeste-diamond-stud-earrings,Celeste Diamond Stud Earrings,"<p>Classic stud earrings with a refined diamond-set finish. Demo product for development purposes.</p>",Karim Jewellers,Earrings,"new-arrivals,gold,gifts",TRUE,Size,One Size,,,KJ-EAR-001,shopify,18,deny,manual,395.00,,TRUE,TRUE,,,,FALSE,Celeste Diamond Stud Earrings | Karim Jewellers,Diamond stud earrings. Demo product.,active
amara-gold-bracelet,Amara Gold Bracelet,"<p>A fine gold chain bracelet, light enough for daily wear. Demo product for development purposes.</p>",Karim Jewellers,Bracelets,"gold,bestseller",TRUE,Size,Adjustable,,,KJ-BRA-001,shopify,30,deny,manual,175.00,,TRUE,TRUE,,,,FALSE,Amara Gold Bracelet | Karim Jewellers,Fine gold chain bracelet. Demo product.,active
isabella-pearl-drop-earrings,Isabella Pearl Drop Earrings,"<p>Elegant pearl drop earrings suited to both day and evening wear. Demo product for development purposes.</p>",Karim Jewellers,Earrings,"silver,gifts",TRUE,Size,One Size,,,KJ-EAR-002,shopify,20,deny,manual,85.00,,TRUE,TRUE,,,,FALSE,Isabella Pearl Drop Earrings | Karim Jewellers,Pearl drop earrings. Demo product.,active
sophia-diamond-band-ring,Sophia Diamond Band Ring,"<p>A refined diamond-set band ring, equally suited to everyday wear or as a wedding band. Demo product for development purposes.</p>",Karim Jewellers,Rings,"wedding,gold,bestseller",TRUE,Ring Size,K,,,KJ-RIN-001,shopify,12,deny,manual,650.00,750.00,TRUE,TRUE,,,,FALSE,Sophia Diamond Band Ring | Karim Jewellers,Diamond band ring. Demo product.,active
sophia-diamond-band-ring,,,,,,,,,Ring Size,L,KJ-RIN-001-L,shopify,10,deny,manual,650.00,750.00,TRUE,TRUE,,,,,,,active
sophia-diamond-band-ring,,,,,,,,,Ring Size,M,KJ-RIN-001-M,shopify,10,deny,manual,650.00,750.00,TRUE,TRUE,,,,,,,active
elena-gold-necklace,Elena Gold Necklace,"<p>A timeless layering necklace in warm gold tone. Demo product for development purposes.</p>",Karim Jewellers,Necklaces,"gold,new-arrivals",TRUE,Length,45cm,,,KJ-NEC-002,shopify,22,deny,manual,145.00,,TRUE,TRUE,,,,FALSE,Elena Gold Necklace | Karim Jewellers,Gold layering necklace. Demo product.,active
victoria-tennis-bracelet,Victoria Tennis Bracelet,"<p>A classic tennis bracelet with a continuous line of set stones. Demo product for development purposes.</p>",Karim Jewellers,Bracelets,"silver,bestseller,gifts",TRUE,Size,Adjustable,,,KJ-BRA-002,shopify,15,deny,manual,395.00,450.00,TRUE,TRUE,,,,FALSE,Victoria Tennis Bracelet | Karim Jewellers,Tennis bracelet. Demo product.,active
arabella-solitaire-ring,Arabella Solitaire Ring,"<p>A single-stone solitaire ring, a modern classic for engagements or special occasions. Demo product for development purposes.</p>",Karim Jewellers,Rings,"wedding,gold",TRUE,Ring Size,J,,,KJ-RIN-002,shopify,8,deny,manual,950.00,,TRUE,TRUE,,,,FALSE,Arabella Solitaire Ring | Karim Jewellers,Solitaire engagement ring. Demo product.,active
